Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,P / L
9:43:10,MU,B,50.99,400,SMRT,,TRIB5621,Margin,AUTO,0
9:36:04,SQ,S,74.6,244,SMRT,,TRIB5621,Margin,AUTO,24.4
11:12:58,MU,B,50.86,500,SMRT,,TRIB5621,Margin,AUTO,0
9:35:42,SQ,S,74.72,81,SMRT,,TRIB5621,Margin,AUTO,17.82
11:08:10,SQ,S,74.56,500,SMRT,,TRIB5621,Margin,AUTO,2.5
9:48:47,THST,B,2.88,300,SMRT,,TRIB5621,Margin,AUTO,0
9:35:32,SQ,B,74.5,325,SMRT,,TRIB5621,Margin,AUTO,0
11:39:27,MU,S,50.93,188,SMRT,,TRIB5621,Margin,AUTO,13.16
10:18:36,MU,S,50.34,500,SMRT,,TRIB5621,Margin,AUTO,-50
10:06:04,SQ,S,74.08,400,SMRT,,TRIB5621,Margin,AUTO,-22
9:54:56,THST,SS,2.77,225,SMRT,,TRIB5621,Short,AUTO,-24.75
10:34:58,SQ,B,74.72,500,SMRT,,TRIB5621,Margin,AUTO,0
10:57:57,SQ,B,74.39,500,SMRT,,TRIB5621,Margin,AUTO,0
11:33:42,MU,S,51.1,187,SMRT,,TRIB5621,Margin,AUTO,44.88
9:46:46,SQ,B,74.3,625,SMRT,,TRIB5621,Margin,AUTO,70
10:14:49,MU,B,50.44,500,SMRT,,TRIB5621,Margin,AUTO,0
10:04:28,SQ,B,74.04,200,SMRT,,TRIB5621,Margin,AUTO,0
10:04:28,SQ,B,74.04,200,SMRT,,TRIB5621,Margin,AUTO,0
10:03:51,SQ,B,74.23,200,SMRT,,TRIB5621,Margin,AUTO,0
10:03:51,SQ,B,74.23,200,SMRT,,TRIB5621,Margin,AUTO,0
11:28:42,SQ,S,74.64,500,SMRT,,TRIB5621,Margin,AUTO,42.5
9:45:48,SQ,SS,74.26,125,SMRT,,TRIB5621,Short,AUTO,0
9:38:45,SQ,S,74.55,225,SMRT,,TRIB5621,Margin,AUTO,-24.75
9:45:07,SQ,SS,74.45,500,SMRT,,TRIB5621,Short,AUTO,0
9:44:32,MU,S,50.85,400,SMRT,,TRIB5621,Margin,AUTO,-56
11:21:36,MU,S,50.99,125,SMRT,,TRIB5621,Margin,AUTO,16.25
9:37:36,SQ,S,74.77,75,SMRT,,TRIB5621,Margin,AUTO,8.25
10:10:54,SQ,S,74.14,400,SMRT,,TRIB5621,Margin,AUTO,2
9:37:05,SQ,B,74.66,300,SMRT,,TRIB5621,Margin,AUTO,0
9:50:25,THST,S,3.02,75,SMRT,,TRIB5621,Margin,AUTO,10.5
