Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,P / L,
10:39:33,TSLA,B,306.47,50,SMRT,,TRIB5621,Margin,AUTO,0.00,
10:33:06,MU,S,46.97,625,SMRT,,TRIB5621,Margin,AUTO,112.50,
10:31:34,MU,S,46.9,625,SMRT,,TRIB5621,Margin,AUTO,68.75,
10:27:47,MU,B,46.79,1250,SMRT,,TRIB5621,Margin,AUTO,0.00,
10:16:50,TSLA,S,300.29,50,SMRT,,TRIB5621,Margin,AUTO,80.50,
09:59:55,TSLA,B,298.68,50,SMRT,,TRIB5621,Margin,AUTO,0.00,
09:47:54,CGC,S,35.09,483,SMRT,,TRIB5621,Margin,AUTO,43.47,
09:47:50,CGC,S,35.15,482,SMRT,,TRIB5621,Margin,AUTO,72.30,
09:46:47,CGC,B,35,965,SMRT,,TRIB5621,Margin,AUTO,0.00,
09:42:15,CGC,B,34.83,1099,SMRT,,TRIB5621,Margin,AUTO,-120.89,
09:40:58,CGC,B,34.65,366,SMRT,,TRIB5621,Margin,AUTO,25.62,
09:39:42,CGC,SS,34.72,1465,SMRT,,TRIB5621,Short,AUTO,0.00,
09:38:41,CGC,S,34.7,600,SMRT,,TRIB5621,Margin,AUTO,-222.00,
09:37:06,CGC,B,35.07,600,SMRT,,TRIB5621,Margin,AUTO,0.00,
09:33:00,MU,B,46.99,750,SMRT,,TRIB5621,Margin,AUTO,142.50,
