Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,P / L,
09:44:54,IZEA,B,1.63,6016,SMRT,,TRIB5621,Margin,AUTO,0.00,
09:47:48,IZEA,S,1.65,3923,SMRT,,TRIB5621,Margin,AUTO,115.06,
09:45:21,IZEA,B,1.59,1830,SMRT,,TRIB5621,Margin,AUTO,0.00,
09:35:33,MU,SS,45.77,1000,SMRT,,TRIB5621,Short,AUTO,0.00,
09:41:12,MU,S,46.32,750,SMRT,,TRIB5621,Margin,AUTO,15.00,
09:38:46,MU,S,46.44,250,SMRT,,TRIB5621,Margin,AUTO,35.00,
09:37:48,MU,B,46.3,1000,SMRT,,TRIB5621,Margin,AUTO,0.00,
09:36:02,MU,B,46,1000,SMRT,,TRIB5621,Margin,AUTO,-230.00,
09:53:58,MU,SS,46.46,479,SMRT,,TRIB5621,Short,AUTO,0.00,
09:59:45,MU,B,46.88,479,SMRT,,TRIB5621,Margin,AUTO,-201.18,
10:00:10,MU,B,46.94,313,SMRT,,TRIB5621,Margin,AUTO,0.00,
10:00:10,MU,B,46.94,250,SMRT,,TRIB5621,Margin,AUTO,0.00,
10:00:13,MU,B,46.92,200,SMRT,,TRIB5621,Margin,AUTO,0.00,
11:54:38,MU,S,47.15,763,SMRT,,TRIB5621,Margin,AUTO,164.23,
15:44:39,MU,B,47.21,300,SMRT,,TRIB5621,Margin,AUTO,-9.00,
15:11:28,MU,SS,47.18,1050,SMRT,,TRIB5621,Short,AUTO,0.00,
14:15:08,ROKU,B,55.58,265,SMRT,,TRIB5621,Margin,AUTO,0.00,
14:19:13,ROKU,S,55.46,265,SMRT,,TRIB5621,Margin,AUTO,-31.80,
13:56:01,WMT,S,98.01,425,SMRT,,TRIB5621,Margin,AUTO,-80.75,
13:54:52,WMT,B,98.2,425,SMRT,,TRIB5621,Margin,AUTO,0.00,
